clip_ratio/high_max,clip_ratio/high_mean,clip_ratio/low_mean,clip_ratio/low_min,clip_ratio/region_mean,completions/clipped_ratio,completions/max_length,completions/max_terminated_length,completions/mean_length,completions/mean_terminated_length,completions/min_length,completions/min_terminated_length,entropy,epoch,frac_reward_zero_std,grad_norm,learning_rate,loss,num_tokens,reward,reward_std,rewards/correctness_reward/mean,rewards/correctness_reward/std,rewards/format_reward/mean,rewards/format_reward/std,step,step_time
0.0,0.0,0.0,0.0,0.0,0.15625,384.0,379.0,264.65625,242.55555725097656,60.0,60.0,0.5488441847264767,0.0005353319057815846,0.0,0.5284643173217773,0.0,0.0020309220999479294,12357.0,0.3562500476837158,0.5022128820419312,0.25,0.4399413466453552,0.10625000298023224,0.10140147060155869,1,27.422199300000557
0.0,0.0,0.0,0.0,0.0,0.3125,384.0,378.0,266.15625,212.59091186523438,57.0,57.0,0.3350723795592785,0.0010706638115631692,0.0,0.4402593672275543,2.0000000000000003e-06,0.1123521700501442,23858.0,0.30625003576278687,0.4872156083583832,0.21875,0.420013427734375,0.08750000596046448,0.10080322623252869,2,26.7498224699998
0.0,0.0,0.0,0.0,0.0,0.15625,384.0,378.0,264.1875,242.0,58.0,58.0,0.4689399376511574,0.0016059957173447537,0.0,0.5013161897659302,4.000000000000001e-06,-0.03449171036481857,36384.0,0.4375000298023224,0.5289978384971619,0.3125,0.4709290862083435,0.125,0.09837387502193451,3,27.782213131999015
0.0,0.0,0.0,0.0,0.0,0.1875,384.0,379.0,248.90625,217.73077392578125,102.0,102.0,0.3129279240965843,0.0021413276231263384,0.0,0.4500747621059418,6e-06,0.011651411652565002,47461.0,0.6437500715255737,0.5696278214454651,0.5,0.5080004930496216,0.14375001192092896,0.0913606807589531,4,26.219861684999614
0.0,0.0,0.0,0.0,0.0,0.34375,384.0,350.0,284.0,231.61904907226562,61.0,61.0,0.5034566707909107,0.0026766595289079227,0.0,0.4656631648540497,8.000000000000001e-06,0.019681300967931747,59405.0,0.28125,0.45680344104766846,0.1875,0.3965577781200409,0.09375,0.10140147060155869,5,26.373704544999327
0.0,0.0,0.0,0.0,0.0,0.125,384.0,365.0,233.71875,212.25001525878906,74.0,74.0,0.3547485638409853,0.0032119914346895075,0.25,0.37898701429367065,1e-05,-0.05421079322695732,69972.0,0.4500000476837158,0.5205456018447876,0.3125,0.4709290862083435,0.13750000298023224,0.09418581426143646,6,26.19380166000019
0.0,0.0,0.0,0.0,0.0,0.03125,384.0,355.0,205.96875,200.22579956054688,56.0,56.0,0.32505274564027786,0.003747323340471092,0.0,0.4824247658252716,1.2e-05,-0.05352666974067688,79811.0,0.6812500357627869,0.5653645396232605,0.53125,0.507007360458374,0.15000000596046448,0.08798826485872269,7,28.067041453999536
0.0,0.0,0.0,0.0,0.0,0.3125,384.0,360.0,281.40625,234.77273559570312,121.0,121.0,0.36869020015001297,0.004282655246252677,0.0,0.45662111043930054,1.4e-05,0.05452881008386612,92168.0,0.45000001788139343,0.5080004930496216,0.3125,0.4709290862083435,0.13750000298023224,0.09418581426143646,8,27.713047096000082
0.0,0.0,0.0,0.0,0.0,0.21875,384.0,375.0,306.9375,285.3599853515625,156.0,156.0,0.44197214394807816,0.004817987152034261,0.0,0.4431358575820923,1.6000000000000003e-05,0.06773191690444946,105470.0,0.4937500059604645,0.5254414677619934,0.34375,0.4825586974620819,0.15000000596046448,0.08798826485872269,9,28.073800872999527
0.0,0.0,0.0,0.0,0.0,0.0625,384.0,343.0,238.15625,228.433349609375,64.0,64.0,0.21450079791247845,0.0053533190578158455,0.25,0.3700609803199768,1.8e-05,0.0016572922468185425,116259.0,0.8625000715255737,0.5116387605667114,0.6875,0.4709290862083435,0.17500001192092896,0.06720215082168579,10,26.002425290000247
